IdCompeticao,NomeCompeticao,IdUser,NumaMaxEqEscolas,IdModoCompeticao,DataInscFinal,DiaHoraCompeticao,MaxTentJogo,TempoTotalJogo,NumTotNiveis,VidasPorNivel,NumEltosEquipa,Calculadora,VisualizarProva,InicioPreInscricao,FimPreInscricao,InicioInscricaoEquipas,FimInscricaoEquipas,Estilo,URL,TreinoVisivel,FimCompeticao,RefIdCicloEnsino,DataCriacao,plataforma,idCompeticaoEvento,IconName
2,"EquamatTeste                                                ",129,100,3,2003-10-10 00:00:00.000,2002-04-06 09:00:00.000,2,35,15,2,1,0,NULL,NULL,NULL,NULL,NULL,+M,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
11,"EquamatBatel                                                ",354,20,3,2002-10-10 00:00:00.000,NULL,2,30,20,2,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
12,"Equamat2002                                                 ",354,9,2,2002-03-16 00:00:00.000,2002-02-05 09:00:00.000,2,30,20,2,2,0,NULL,NULL,NULL,NULL,NULL,EM,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
13,"Prova M3 CalcII                                             ",354,500,5,2002-10-05 00:00:00.000,NULL,1,20,2,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
14,"Competição geral (Equamat Treino)                           ",354,9999,3,2010-11-11 00:00:00.000,NULL,2,30,20,2,1,0,NULL,NULL,NULL,NULL,NULL,EM,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
15,"Mat12                                                       ",354,9999,2,2010-11-11 00:00:00.000,2002-07-06 09:00:00.000,2,30,10,2,2,0,NULL,NULL,NULL,NULL,NULL,MXII,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
16,"Mat12 Treino                                                ",354,9999,3,2010-11-11 00:00:00.000,2002-12-02 00:00:00.000,2,30,10,2,1,0,NULL,NULL,NULL,NULL,NULL,MXII,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
17,"EquaMat@Faro                                                ",354,20,2,2002-06-26 00:00:00.000,NULL,2,30,20,2,2,0,NULL,NULL,NULL,NULL,NULL,EM,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
18,"Tdtop                                                       ",353,9999,4,2010-10-10 00:00:00.000,2002-10-05 09:00:00.000,1,35,20,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
19,"TdMat                                                       ",354,9999,4,2002-10-24 00:00:00.000,2002-10-23 09:00:00.000,1,30,20,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
20,"TFM                                                         ",353,9999,5,2002-11-19 00:00:00.000,2002-11-19 09:00:00.000,1,40,20,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
21,"TMN1 - Treino                                               ",354,9999,3,2002-12-02 00:00:00.000,2002-12-02 09:00:00.000,2,20,4,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
22,"TMN1 - Final                                                ",354,9999,5,2002-12-02 00:00:00.000,2002-12-02 09:00:00.000,2,45,11,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
23,"TFM - Treino                                                ",353,999,3,2002-12-02 00:00:00.000,2002-12-02 09:00:00.000,2,40,20,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
24,"Mat12 - Treino                                              ",364,9999,3,2002-12-02 00:00:00.000,2002-12-02 09:00:00.000,2,35,20,2,1,0,NULL,NULL,NULL,NULL,NULL,MXII,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
