idsubcompeticao,refidcompeticao_pai,refidcompeticao_filho
1,98,113
2,98,114
3,98,115
4,98,116
5,98,117
6,98,118
7,98,119
8,76,121
9,76,122
10,76,123
11,77,124
12,77,125
13,172,173
14,172,174
15,172,175
16,88,185
17,88,186
18,87,182
19,87,183
20,87,184
33,212,214
34,212,215
35,217,220
36,217,221
37,222,223
38,222,224
39,222,225
40,216,218
41,216,219
42,212,213
43,264,265
44,264,266
45,264,267
46,268,269
47,268,270
48,268,271
49,268,272
50,268,273
51,268,274
52,268,275
53,268,276
54,268,277
55,268,278
56,291,292
57,291,293
58,325,227
59,325,228
70,361,362
71,361,363
72,361,364
73,361,365
74,361,366
75,361,367
76,361,368
77,361,369
78,361,370
79,361,371
80,336,341
81,336,342
82,336,343
83,335,349
84,335,350
85,334,347
86,334,348
87,337,344
88,337,345
89,337,346
106,450,339
107,450,340
108,461,519
109,461,520
110,461,521
111,456,510
112,456,511
113,456,512
114,462,516
115,462,517
116,462,518
117,504,494
118,504,495
119,504,496
120,455,508
121,455,509
122,457,513
123,457,514
124,457,515
125,505,497
126,505,498
127,505,499
128,503,484
129,503,485
130,503,486
131,503,487
132,503,488
133,503,489
134,503,490
135,503,491
136,503,492
137,503,493
138,454,506
139,454,507
140,620,459
141,620,460
142,633,634
143,633,635
144,633,636
145,654,655
146,654,656
147,654,657
148,658,659
149,658,660
150,661,662
151,661,663
152,661,664
153,665,666
154,665,667
155,665,668
156,665,669
157,665,670
158,665,671
159,665,672
160,665,673
161,665,674
162,665,675
163,646,645
164,646,647
165,646,648
166,676,677
167,676,678
168,700,701
169,700,702
170,706,703
171,706,704
172,753,754
173,753,752
174,753,755
175,738,739
176,738,740
177,738,741
178,738,742
179,738,743
180,738,744
181,738,745
182,738,746
183,738,747
184,738,748
185,757,638
186,757,640
187,757,639
190,794,795
191,794,796
192,794,797
193,800,801
194,800,822
195,800,803
196,809,811
197,809,810
198,809,812
199,814,815
200,814,816
201,814,817
202,818,804
203,818,792
204,818,793
205,818,805
206,820,819
207,820,805
208,820,821
209,836,825
210,836,827
211,836,828
212,836,829
213,836,830
214,836,831
215,836,834
216,838,823
217,838,824
218,838,826
219,837,832
220,837,833
221,837,835
222,982,965
223,982,966
224,982,967
225,982,968
226,982,969
227,982,970
228,982,971
229,981,962
230,981,963
231,981,964
232,980,959
233,980,960
234,980,961
235,983,972
236,983,973
237,983,974
238,979,955
239,979,956
240,979,957
241,978,952
242,978,953
243,978,954
244,977,951
245,977,950
246,977,949
247,976,946
248,976,947
249,976,948
250,975,943
251,975,944
252,975,945
254,981,905
255,1067,1068
256,1067,1069
257,1067,1070
258,1073,1074
259,1073,1075
260,1073,1076
261,1073,1077
262,1073,1078
263,1073,1079
264,1051,1052
265,1051,1053
266,1051,1054
267,1061,1062
268,1061,1063
269,1061,1064
270,1047,1048
271,1047,1049
272,1047,1050
278,1083,1083
282,1071,1071
283,1072,1072
284,1080,1080
285,1082,1082
286,1055,1055
287,1137,1141
288,1137,1142
289,1137,1143
290,1137,1138
291,1137,1139
292,1137,1140
298,1148,1149
299,1148,1150
300,1148,1151
301,1152,1153
302,1152,1154
303,1152,1155
304,1164,1165
305,1164,1166
306,1164,1167
307,1168,1169
308,1168,1170
309,1168,1171
310,1134,1134
311,1133,1133
312,1132,1132
313,1131,1131
314,1135,1135
315,1133,1133
316,1136,1136
317,1188,1189
318,1188,1190
319,1188,1191
320,1181,1182
321,1181,1183
322,1181,1184
323,1181,1185
324,1181,1186
325,1181,1187
345,1201,1202
346,1201,1203
347,1201,1204
348,1195,1196
349,1195,1197
350,1195,1198
351,1209,1210
352,1209,1211
353,1209,1212
354,1249,1250
355,1249,1251
356,1249,1252
357,1257,1258
358,1257,1259
359,1257,1260
360,1257,1261
361,1257,1262
362,1257,1263
363,1267,1268
364,1267,1269
365,1267,1270
366,1273,1274
367,1273,1275
368,1273,1276
369,1281,1282
370,1281,1283
371,1281,1284
372,1246,1327
373,1246,1339
374,1266,1319
375,1266,1331
376,1416,1417
377,1416,1421
378,1425,1426
